mapping_id,identity_id,group_id,group_name,platform,is_nested,parent_group_id,assigned_date
573bfc17-2167-c35e-ce73-34f233932b6c,7914c120-c8dc-d19f-3e35-11287900f7f9,GRP-0e51f30d-c6a7-ee39-c4b0-32ccd7c524a5,AD-IT-Operations,AD,False,,2023-12-07
cd6bb03b-eb35-37a0-2d6e-0291b7893986,1825bc54-30be-b45f-6835-14f2ceb81f9d,GRP-98ae4334-6c12-ace8-ae34-0454cac5b68c,AzureAD-All-Users,AzureAD,False,,2022-03-13
0f3f0f48-52d6-b779-de43-79cbd8230076,5ab33edf-6e59-5ed3-a8b3-17fa18d0752b,GRP-5fb8d16c-2720-797d-32eb-d6899be578c7,Okta-All-Users,Okta,False,,2022-01-20
b466fab6-962c-04dd-25d0-7461059c1574,dd2467ac-778e-edb3-693d-ffbc6c6fa611,GRP-7d154385-52fb-e43b-9954-6eb400257ad1,SF-Sales-Managers,Salesforce,False,,2025-10-08
1c654aa2-c63c-e21d-2443-5958eacf33a9,dd2467ac-778e-edb3-693d-ffbc6c6fa611,GRP-eb2263dd-87c5-421e-ec24-a3c5c754108f,SF-Sales-Operations,Salesforce,True,GRP-7d154385-52fb-e43b-9954-6eb400257ad1,2025-10-08
5d696bc8-dc54-d59b-86bb-42c7d8b2f8b6,a748dbcf-ac61-9e63-0dde-29a6baa4b71a,GRP-0e51f30d-c6a7-ee39-c4b0-32ccd7c524a5,AD-IT-Operations,AD,False,,2023-12-14
b45c9a54-5fa3-a531-1291-6e60f5e72daf,0f844fef-1931-e9ee-a56c-0941fbf24050,GRP-98ae4334-6c12-ace8-ae34-0454cac5b68c,AzureAD-All-Users,AzureAD,False,,2022-05-05
96053035-6545-c030-a981-fa54f121e129,ccf3a171-56dc-8907-ba6c-34ab6712303a,GRP-5fb8d16c-2720-797d-32eb-d6899be578c7,Okta-All-Users,Okta,False,,2025-08-28
52961fb3-4d40-7b28-5628-ddcd19dd3e8c,310c0c00-3fa7-f104-1bf9-0e27dc96925e,GRP-956269f0-e5d7-b875-6dad-d6c795a76d79,AD-Security,AD,False,,2024-04-27
bb7b6c05-2852-2ca2-f9d2-014a22ee7f07,23e2fcb4-72d8-567d-894a-05e430b187ef,GRP-dc713d96-0c0f-d195-c17a-f08a1745d6d8,AzureAD-Security-Ops,AzureAD,False,,2023-07-15
a3a6ef83-cab6-3107-6fd6-9b3af2dd9456,766ecb15-474e-bc19-2ef9-12766c006f61,GRP-1d53434b-b881-39b9-ae27-0da702f06b90,AWS-PowerUsers,AWS,False,,2023-12-26
51397c06-a630-ad9d-7cb9-23f5f5edf382,134c6c92-ec5b-227c-dfde-4fbf3ff350bf,GRP-81f76d1c-2dbc-2134-c30f-f46e8026695f,Okta-AppAdmins,Okta,False,,2022-12-27
8fddbebc-f7ff-88d4-b509-f08a2c988bca,db20a56e-dc81-5fe7-ceda-8bbb71710434,GRP-0e51f30d-c6a7-ee39-c4b0-32ccd7c524a5,AD-IT-Operations,AD,False,,2026-02-01
9d1c0838-edc8-cca8-e3bc-d6f3b18d2c8c,a6f2f7b8-0cf3-5b58-1910-8be58ce21ea3,GRP-98ae4334-6c12-ace8-ae34-0454cac5b68c,AzureAD-All-Users,AzureAD,False,,2025-06-15
aa604892-3926-12e9-5b58-eb49c9784b52,03c72ba8-d605-e770-8a63-f881ffd0f9d5,GRP-b8db0672-f42d-47cc-00d4-af5974273ca3,AWS-ReadOnly,AWS,False,,2022-11-15
60ddc7f1-2ce3-d822-d080-12b896c56fe7,c0e9ab30-ed26-62e9-17e0-11b7f8102383,GRP-7d154385-52fb-e43b-9954-6eb400257ad1,SF-Sales-Managers,Salesforce,False,,2025-03-23
4b657bcc-b041-6f19-bbe7-18354e8bf78a,c0e9ab30-ed26-62e9-17e0-11b7f8102383,GRP-eb2263dd-87c5-421e-ec24-a3c5c754108f,SF-Sales-Operations,Salesforce,True,GRP-7d154385-52fb-e43b-9954-6eb400257ad1,2025-03-23
0075d3d5-ba94-aa66-2d7e-4a452099e71f,680ac07a-2a93-5d62-3c83-5dc0d9441fa5,GRP-0e51f30d-c6a7-ee39-c4b0-32ccd7c524a5,AD-IT-Operations,AD,False,,2022-10-15
92a54d04-f2dd-e1f5-b3b6-d344f2e3c6f0,dd59ba71-36b8-2481-7b3a-4e3e7c52fa17,GRP-98ae4334-6c12-ace8-ae34-0454cac5b68c,AzureAD-All-Users,AzureAD,False,,2023-12-28
c55523ed-fe89-56c8-d9cb-3540643ffdae,2a25a888-0f02-bad0-e706-7ef466aa9385,GRP-b8db0672-f42d-47cc-00d4-af5974273ca3,AWS-ReadOnly,AWS,False,,2025-04-14
2e9ce8ff-084a-3c4b-9146-8cdcf7164b73,63f2ae24-fc3d-3348-008d-4127610461e3,GRP-5fb8d16c-2720-797d-32eb-d6899be578c7,Okta-All-Users,Okta,False,,2022-02-28
cf0df860-ebc9-2914-5176-a9d19a3624d6,c8fe3ccd-c8b8-d9c6-ed30-49cf43e458fc,GRP-7d154385-52fb-e43b-9954-6eb400257ad1,SF-Sales-Managers,Salesforce,False,,2025-03-08
a3bfe403-388c-9751-9c83-79aef7b02805,c8fe3ccd-c8b8-d9c6-ed30-49cf43e458fc,GRP-eb2263dd-87c5-421e-ec24-a3c5c754108f,SF-Sales-Operations,Salesforce,True,GRP-7d154385-52fb-e43b-9954-6eb400257ad1,2025-03-08
7f05fbf5-efca-c577-1aa6-f7cb90c7e6ac,b253d218-6c4a-37ea-4906-17f2747b6dba,GRP-0e51f30d-c6a7-ee39-c4b0-32ccd7c524a5,AD-IT-Operations,AD,False,,2022-12-28
13eb22c9-bece-d21a-54c7-743b2401342a,c88a618e-fed4-057d-bb02-6576f512c4c3,GRP-98ae4334-6c12-ace8-ae34-0454cac5b68c,AzureAD-All-Users,AzureAD,False,,2025-01-25
51cbf9e5-fb7d-3ba1-58c8-8c483ced4d1f,7c967f79-b7e9-9aca-a970-65e18e46d534,GRP-5fb8d16c-2720-797d-32eb-d6899be578c7,Okta-All-Users,Okta,False,,2024-03-10
