mapping_id,source_type,source_id,canonical_id,incident_type,action_type,framework,control_id,tag,mapped_timestamp
8849d477-880c-48e7-a42c-56451c12db4e,INCIDENT,277e0170-dd8d-48f1-bc7f-1126dddad53b,033d2bce-575a-ed2c-a5c5-650c8186a576,SOD_VIOLATION,,MITRE,T1078,MITRE:T1078,2026-06-21 15:10:29
12058806-c8dc-49fd-9af9-9a99b084b27a,INCIDENT,277e0170-dd8d-48f1-bc7f-1126dddad53b,033d2bce-575a-ed2c-a5c5-650c8186a576,SOD_VIOLATION,,MITRE,T1548.002,MITRE:T1548.002,2026-06-21 15:10:29
50396a15-2e6a-4170-89fb-73a417b27ec7,INCIDENT,277e0170-dd8d-48f1-bc7f-1126dddad53b,033d2bce-575a-ed2c-a5c5-650c8186a576,SOD_VIOLATION,,NIST,AC-5,NIST:AC-5,2026-06-21 15:10:29
a9844451-fea9-48e9-b096-2ca08dcd9303,INCIDENT,277e0170-dd8d-48f1-bc7f-1126dddad53b,033d2bce-575a-ed2c-a5c5-650c8186a576,SOD_VIOLATION,,NIST,AC-6,NIST:AC-6,2026-06-21 15:10:29
003a19eb-9af0-4820-8175-bb8accb8616f,INCIDENT,277e0170-dd8d-48f1-bc7f-1126dddad53b,033d2bce-575a-ed2c-a5c5-650c8186a576,SOD_VIOLATION,,NIST,AC-2,NIST:AC-2,2026-06-21 15:10:29
eae61b64-9006-476a-8032-8fe57d35ba45,INCIDENT,277e0170-dd8d-48f1-bc7f-1126dddad53b,033d2bce-575a-ed2c-a5c5-650c8186a576,SOD_VIOLATION,,CIS,5.4,CIS:5.4,2026-06-21 15:10:29
db8a5196-51a6-4799-8095-780847e19b9b,INCIDENT,277e0170-dd8d-48f1-bc7f-1126dddad53b,033d2bce-575a-ed2c-a5c5-650c8186a576,SOD_VIOLATION,,CIS,6.8,CIS:6.8,2026-06-21 15:10:29
01e6329d-4ff7-4ed0-af66-2da48adda59b,INCIDENT,277e0170-dd8d-48f1-bc7f-1126dddad53b,033d2bce-575a-ed2c-a5c5-650c8186a576,SOD_VIOLATION,,CIS,14.6,CIS:14.6,2026-06-21 15:10:29
83de2723-21ee-4ad2-8f5a-f447574f1ac5,INCIDENT,277e0170-dd8d-48f1-bc7f-1126dddad53b,033d2bce-575a-ed2c-a5c5-650c8186a576,SOD_VIOLATION,,GDPR,Art.5(1)(f),GDPR:Art.5(1)(f),2026-06-21 15:10:29
2267d670-0b2d-4e89-8e13-30d93d92f84e,INCIDENT,277e0170-dd8d-48f1-bc7f-1126dddad53b,033d2bce-575a-ed2c-a5c5-650c8186a576,SOD_VIOLATION,,GDPR,Art.32,GDPR:Art.32,2026-06-21 15:10:29
30dd00fa-df3d-4ccb-99b7-d42ae642eda7,INCIDENT,aaca4e90-7656-4bdb-adc2-66f1200213d6,085eb489-4ac6-6780-3874-9f3cc2d49b56,ORPHANED_ACCOUNT,,MITRE,T1078,MITRE:T1078,2026-06-21 15:10:29
